Warehouse,Customer Name,Customer Code,SKU Name,SKU Code,UOM - Sale,Pack Size,SKU Item Selling Price,ASP,FG Dispatch Qty,FG Qty Sold,Revenue,IN-take Cost / Packet ABP,In-take Margin (IM)% - WO FM,FM,FM%,In-take Margin (IM)% - With FM,PPL,DC Dump,RTV Dump,Stock Loss Dump,Transit/damage Loss,Production PPL%,Stock Adjustment %,DC Dump%,RTV Dump %,Stock Loss Dump %,Transit/damage Loss %,Total Production PPL% & Dump%,PM%,Labour / Packet,Transport / Packet,Packaging / Packet,Labelling / Packet,Utility / Packet,Consumables / Packet,Ops Cost / Packet,Ops Cost / Packet - Supply Net Of RTV,Ops Cost %,OM%,Report Date
Pune DC,Zepto - Pune,ZDP,Sugarcane Diced,,pack,0.175 Kg,15.0,15.0,41,41,615.0,2.4,84.0,0.0,0.0,84.0,3.8,0.0,0.0,2.3,0.0,25.3,,0.0,0.0,0.4,0.0,25.7,58.3,4.0,1.5,3.5,0,0.3,0,9.3,9.3,62.0,-3.700000000000003,2025-04-29
Pune DC,Zepto - Pune,ZDP,Pineapple Chunks,,pack,0.175 Kg,45.0,45.0,20,20,900.0,10.4,76.9,0.0,0.0,76.9,40.2,45.4,0.0,0.0,0.0,89.3,,5.0,0.0,0.0,0.0,94.4,-17.5,5.0,1.5,2.9,0,0.3,0,9.7,9.7,21.555555555555554,-39.05555555555556,2025-04-29
Pune DC,Zepto - Pune,ZDP,Pineapple Peeled (Ananas) - Whole,,pack,0.8 kg,80.0,80.0,2,2,160.0,23.4,70.8,0.0,0.0,70.8,90.4,10.2,0.0,0.0,0.0,113.0,,6.4,0.0,0.0,0.0,119.4,-48.6,2.0,1.5,2.0,0,0.3,0,5.8,5.8,7.249999999999999,-55.85,2025-04-29
Pune DC,Zepto - Pune,ZDP,Sliced Watermelon,,pack,0.25,25.0,25.0,11,11,275.0,5.0,80.0,0.0,0.0,80.0,8.6,0.0,0.0,70.0,0.0,34.4,,0.0,0.0,25.5,0.0,59.9,20.1,5.0,1.5,4.0,0,0.3,0,10.8,10.8,43.2,-23.1,2025-04-29
Pune DC,Zepto - Pune,ZDP,Pineapple Slice,,pack,250 GM,45.0,45.0,250,250,11250.0,13.0,71.1,0.0,0.0,71.1,50.2,710.1,0.0,0.0,0.0,111.6,,6.3,0.0,0.0,0.0,117.9,-46.8,5.0,1.5,4.0,0,0.3,0,10.8,10.8,24.000000000000004,-70.8,2025-04-29
Pune DC,Zepto - Pune,ZDP,Fruit Chaat,,pack,200 GMS,40.2,40.2,40,40,1608.0,14.8,63.2,0.0,0.0,63.2,26.2,131.9,0.0,3.0,0.0,65.2,,8.2,0.0,0.2,0.0,73.6,-10.4,4.0,1.5,3.7,0,0.3,0,9.5,9.5,23.631840796019898,-34.0318407960199,2025-04-29
Lucknow,Dream Magic Mart Pvt Ltd - UP,DMU,Green Peas Peeled,,pack,0.2 KG,51.0,51.0,14,14,714.0,15.0,70.6,0.0,0.0,70.6,40.5,0.0,0.0,0.0,0.0,79.4,,0.0,0.0,0.0,0.0,79.4,-8.8,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-8.8,2025-04-29
Lucknow,Dream Magic Mart Pvt Ltd - UP,DMU,Raw Mango Sliced 125 GM,,pack,125 GM,30.0,30.0,14,14,420.0,7.5,75.0,0.0,0.0,75.0,17.1,0.0,0.0,0.0,0.0,57.0,,0.0,0.0,0.0,0.0,57.0,18.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,18.0,2025-04-29
Lucknow,Dream Magic Mart Pvt Ltd - UP,DMU,Fruit Chaat,,pack,250gms,48.0,48.0,13,13,624.0,15.6,67.5,0.0,0.0,67.5,26.0,0.0,0.0,0.0,0.0,54.2,,0.0,0.0,0.0,0.0,54.2,13.3,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,13.3,2025-04-29
Lucknow,ROJ RETAILS PRIVATE LIMITED,RRL,Fruit Chaat,,pack,250gms,48.0,48.0,9,9,432.0,15.6,67.5,0.0,0.0,67.5,37.6,0.0,0.0,0.0,0.0,78.3,,0.0,0.0,0.0,0.0,78.3,-10.8,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-10.8,2025-04-29
Lucknow,ROJ RETAILS PRIVATE LIMITED,RRL,Raw Mango Sliced 125 GM,,pack,125 GM,30.0,30.0,9,9,270.0,7.5,75.0,0.0,0.0,75.0,26.7,0.0,0.0,0.0,0.0,89.0,,0.0,0.0,0.0,0.0,89.0,-14.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-14.0,2025-04-29
Lucknow,ROJ RETAILS PRIVATE LIMITED,RRL,Green Peas Peeled,,pack,0.2 KG,51.0,51.0,9,9,459.0,15.0,70.6,0.0,0.0,70.6,45.0,0.0,0.0,0.0,0.0,88.2,,0.0,0.0,0.0,0.0,88.2,-17.6,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-17.6,2025-04-29
Lucknow,PYD Retail Pvt Ltd - LKN,PYD,Fruit Chaat,,pack,250gms,48.0,48.0,10,10,480.0,15.6,67.5,0.0,0.0,67.5,33.9,0.0,0.0,0.0,0.0,70.6,,0.0,0.0,0.0,0.0,70.6,-3.1,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-3.1,2025-04-29
Lucknow,PYD Retail Pvt Ltd - LKN,PYD,Raw Mango Sliced 125 GM,,pack,125 GM,30.0,30.0,9,9,270.0,7.5,75.0,0.0,0.0,75.0,26.7,0.0,0.0,0.0,0.0,89.0,,0.0,0.0,0.0,0.0,89.0,-14.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-14.0,2025-04-29
Lucknow,PYD Retail Pvt Ltd - LKN,PYD,Green Peas Peeled,,pack,0.2 KG,51.0,51.0,9,9,459.0,15.0,70.6,0.0,0.0,70.6,45.0,0.0,0.0,0.0,0.0,88.2,,0.0,0.0,0.0,0.0,88.2,-17.6,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-17.6,2025-04-29
Kolkata,Swiggy KOL - PJTJ,SPK,Mixed Sprouts Swiggy - 150 GM,,pack,150 GM,24.0,24.0,31,31,744.0,9.5,60.4,0.0,0.0,60.4,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,60.4,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,60.4,2025-04-29
Kolkata,Swiggy KOL - PJTJ,SPK,Brown Channa Sprouts - 150 Gms,,pack,0.15KG,24.0,24.0,6,5,120.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,100.0,2025-04-29
Kolkata,Swiggy KOL - PJTJ,SPK,Shelled Green Peas,,pack,0.25KG,60.0,60.0,10,10,600.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,100.0,2025-04-29
Kolkata,Swiggy KOL - PJTJ,SPK,Cut Pineapple,,pack,0.2KG,68.0,68.0,11,1,68.0,14.7,78.4,0.0,0.0,78.4,13.8,0.0,0.0,0.0,0.0,20.3,,0.0,0.0,0.0,0.0,20.3,58.1,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,58.1,2025-04-29
